question,answer
Bea'nın annesi çiftliklerine 50 Maun ve 30 Narra ağacı dikti. Bir tayfun nedeniyle toplam 5 ağaç devrildi. Devrilen Narra ağacı sayısından bir tane daha fazla Maun ağacı devrildi. Tayfundan bir ay sonra Bea'nın annesi devrilen Narra ağacının iki katı ve Maun ağacının üç katı kadar ağaç dikti. Çiftlikte şu anda kaç ağaç var?,"Başlangıçta çiftlikte toplam 50 Maun ve 30 Narra ağacı vardı, yani toplamda 80 ağaç vardı.

Tayfun sonucu devrilen toplam 5 ağaç oldu. Devrilen Narra ağacı sayısına \( n \) diyelim. Bu durumda devrilen Maun ağacı sayısı \( n + 1 \) olacaktır.

Toplamda 5 ağaç devrildiğine göre, \( n + (n + 1) = 5 \) olur.
Bu denklemi çözerek:
\[ 2n + 1 = 5 \]
\[ 2n = 4 \]
\[ n = 2 \]

Bu durumda 2 Narra ve 3 Maun ağacı devrildi.

Bir ay sonra, devrilen Narra ağacının iki katı kadar (yani \( 2 \times 2 = 4 \) Narra) ve Maun ağacının üç katı kadar (yani \( 3 \times 3 = 9 \) Maun) ağaç dikildi.

Şimdi toplam ağaç sayısını hesaplayalım:
- Tayfundan önce: 80 ağaç
- Devrilen ağaçlar: \( -5 \) (toplam)
- Yeni dikilen ağaçlar: \( +4 \) Narra ve \( +9 \) Maun (toplam \( 4 + 9 = 13 \))

Sonuç olarak:
\[ 80 - 5 + 13 = 88 \]

Çiftlikte şu anda 88 ağaç var."
Jeff hafta içi her gün bir saat koşmayı taahhüt etti. Perşembe günü koşusunu 20 dakika kısalttı ancak Cuma günü 10 dakika daha fazla koşabildi. O hafta boyunca kaç dakika koşabildi?,"Jeff hafta içi her gün bir saat (60 dakika) koşmayı planladı. Ancak Perşembe günü 20 dakika daha az ve Cuma günü 10 dakika daha fazla koştu.

Her gün koşması gereken süre: 5 gün * 60 dakika = 300 dakika
Perşembe günü koştuğu süre: 60 - 20 = 40 dakika
Cuma günü koştuğu süre: 60 + 10 = 70 dakika

Toplamda koştuğu süre:
3 gün * 60 dakika + 40 dakika + 70 dakika = 180 + 40 + 70 = 290 dakika

Jeff o hafta toplamda 290 dakika koştu."
John 12. doğum gününde 20 hediye aldı.  13. doğum gününde 8 hediye daha az aldı.  Bu iki doğum günü arasında toplam kaç hediye almıştır?,"John 12. doğum gününde 20 hediye aldı. 13. doğum gününde ise 8 hediye daha az aldı, yani 20 - 8 = 12 hediye aldı. İki doğum günü arasında toplam aldığı hediye sayısı 20 + 12 = 32'dir."
Mark marketten toplam 12 adet meyve satın almak istiyor. Şimdiden 3 elma seçmiştir. Ayrıca 4 muz içeren bir muz demeti de seçmiştir. Toplam 12 adet meyve alabilmesi için kaç adet portakal seçmesi gerekir?,Mark şu ana kadar 3 elma ve 4 muz seçti. Bu toplamda 7 meyve eder. 12 meyveye tamamlamak için 12 - 7 = 5 portakal seçmesi gerekir.
"Julie okul gazetesini yönetmektedir. The School News'in bir sonraki sayısını basmaya hazırlanırken, her biri 5 paketten oluşan ve paket başına 250 yaprak kağıt içeren iki kutu standart kağıt satın aldı.  Eğer Okul Haberleri'nin bu sayısında bir gazete basmak için 25 yaprak kağıt kullanılıyorsa, Julie satın aldığı kağıtlarla kaç gazete basabilir?","Julie'nin toplamda 2 kutu kağıdı var. Her kutu 5 paket içeriyor ve her paket 250 yaprak kağıt içeriyor. Toplam kağıt miktarını hesaplayalım:

2 kutu x 5 paket/kutu = 10 paket
10 paket x 250 yaprak/paket = 2500 yaprak

Bir gazete 25 yaprak kağıt kullanıyorsa, toplam kaç gazete basabileceğini hesaplayalım:

2500 yaprak ÷ 25 yaprak/gazete = 100 gazete

Julie toplamda 100 gazete basabilir."
"Ofelia, bir önceki ay biriktirdiği miktarın iki katını biriktirmesi gereken bir tasarruf yarışmasına katıldı. Ocak ayında 10 dolar biriktirmişti. Mayıs ayında ne kadar tasarruf edecek?","Ocak ayında 10 dolar biriktirmişti. Şubat ayında 20 dolar, Mart ayında 40 dolar, Nisan ayında 80 dolar ve Mayıs ayında 160 dolar biriktirecektir. Mayıs ayında 160 dolar tasarruf edecek."
John haftada 3 kez kestiriyor.  Her şekerleme 2 saat sürüyor.  70 günde kaç saat şekerleme yapar?,"John haftada 3 kez kestiriyor ve her şekerleme 2 saat sürüyor. Bir haftada toplam 6 saat şekerleme yapar. 70 gün, 10 hafta eder. Bu durumda, John 70 günde 10 x 6 = 60 saat şekerleme yapar."
"John ayda 1000 mil araba kullanıyor.  Her 3000 milde bir yağ değişimi yaptırması gerekiyor.  Yılda 1 kez ücretsiz yağ değişimi hakkı var.  Eğer bir yağ değişimi 50$ tutuyorsa, yılda ne kadar ödüyor?","John ayda 1000 mil araba kullandığı için yılda toplam 12,000 mil araba kullanır. Her 3000 milde bir yağ değişimi yaptırması gerektiğine göre, yılda 12,000 mil/3000 mil = 4 yağ değişimi yapar. Bir tanesi ücretsiz olduğuna göre geriye kalan 3 yağ değişiminden her biri 50$ tutar, dolayısıyla 3 x 50$ = 150$ eder. John yılda 150$ öder."
John her biri 40 sayfa olan 5 defter satın alır.  Her gün 4 sayfa kullanıyor.  Defterler kaç gün dayanır?,50 gün dayanır.
"Roger'ın yaşı Jill'in yaşının iki katından 5 fazla. 15 yıl sonra aralarındaki yaş farkı Finley'nin yaşından 30 yıl daha az olacak. Jill şu anda 20 yaşındaysa, Finley kaç yaşındadır?","Jill şu anda 20 yaşındaysa, Roger şu anda 20 x 2 + 5 = 45 yaşındadır.

15 yıl sonra Roger 60 yaşında, Jill ise 35 yaşında olacaktır. O zaman yaş farkları 60 - 35 = 25 yıl olacaktır.

Bu fark Finley'nin yaşından 30 yıl daha az olmalıdır.

Dolayısıyla Finley'nin yaşı 25 + 30 = 55 yaşındadır."
Bingley'nin 5 bileziği var. Kelly 16 bileziğinin dörtte birini Bingley'e verir. Sonra Bingley bileziklerinin üçte birini küçük kız kardeşine verir. Bingley'nin kaç bileziği kalmıştır?,"Kelly, 16 bileziğinin dörtte birini Bingley'e verir, yani 16 ÷ 4 = 4 bilezik. Bingley'de başlangıçta 5 bilezik vardı, Kelly ona 4 tane daha verdi, toplamda 5 + 4 = 9 bilezik olur.

Bingley, bileziklerinin üçte birini küçük kız kardeşine verir, yani 9 ÷ 3 = 3 bilezik verir. Bu durumda Bingley'nin kalan bilezik sayısı 9 - 3 = 6 bilezik olur."
"Kira marketten 3 elma, 5 muz ve 6 portakal aldı. Lola meyvelerden 2 parça yedi. Kaç parça kaldı?","Kira'nın başta 3 elma, 5 muz ve 6 portakalı vardı; bu da toplamda 14 meyve eder. Lola 2 meyve yediğinde, geriye 12 meyve kaldı."
"Zilla aylık kazancının %7'sini kiraya, yarısını diğer aylık giderlerine harcıyor ve geri kalanını tasarruf hesabına yatırıyor. Kira için 133 dolar harcadıysa, bir ayda tasarruf hesabına ne kadar para yatırır?","Zilla'nın aylık kazancı 1,900 dolardır.

Kiraya 133 dolar (%7) ve diğer giderlere yarısını (950 dolar) harcıyor.

O zaman tasarruf hesabına yatırdığı miktar 1,900 - 133 - 950 = 817 dolardır."
"Robert bahçesinin etrafına 15 ayak uzunluğunda, 10 ayak genişliğinde, dikdörtgen şeklinde ahşap bir çit inşa ediyor.  İnşa ettiği çitin her ayağı için 2 ahşap çıtaya ihtiyacı var.  Kaç tane ahşap çıtaya ihtiyacı olacak?","Robert'ın dikdörtgen şeklindeki bahçesinin çevresini hesaplarsak:

Çevre = 2 * (Uzunluk + Genişlik)
        = 2 * (15 + 10)
        = 2 * 25
        = 50 ayak.

Her ayağı için 2 ahşap çıtaya ihtiyacı olduğuna göre:

Toplam ahşap çıta sayısı = 50 * 2
                         = 100.

Robert'ın 100 tane ahşap çıtaya ihtiyacı var."
"Bir çiftçi sebzelerini düzgün sıralar halinde eker. 64 fasulye fidesi var ve bir sıraya 8 fide dikiyor. Ayrıca 84 kabak çekirdeği var ve bir sıraya 7 tohum ekiyor. Son zamanlarda, bir sırada 6 turp olacak şekilde 48 turp ekti. Çiftçi her bitki yatağına iki sıra ekiyorsa, tüm bitkileri için kaç bitki yatağı vardır?","Her bitki yatağı iki sıra olduğuna göre, çiftçinin her bitki için kaç bitki yatağı kullandığını hesaplamamız gerekiyor:

Fasulye:
- 64 fasulye fidesi / 8 fide/sıra = 8 sıra
- 8 sıra / 2 sıra/bitki yatağı = 4 bitki yatağı

Kabak:
- 84 kabak çekirdeği / 7 tohum/sıra = 12 sıra
- 12 sıra / 2 sıra/bitki yatağı = 6 bitki yatağı

Turp:
- 48 turp / 6 turp/sıra = 8 sıra
- 8 sıra / 2 sıra/bitki yatağı = 4 bitki yatağı

Toplamda:
- 4 fasulye + 6 kabak + 4 turp = 14 bitki yatağı

Çiftçinin tüm bitkileri için toplam 14 bitki yatağı vardır."
Jackson 66$'a bir bilgisayar oyunu ve her biri 12$'a üç sinema bileti satın alıyor. Eğlence için toplam ne kadar harcamıştır?,"Jackson, bilgisayar oyunu için 66$ ve her biri 12$ olan üç sinema bileti için toplam 36$ harcamıştır.

Toplam harcaması:
66$ + 36$ = 102$

Yani, toplam 102$ harcamıştır."
Mason telefonuna 880 MB'lık bir oyun indirmeye çalışıyor. 310 MB indirdikten sonra İnternet bağlantısı dakikada 3 MB'a yavaşlıyor. Oyunu indirmesi kaç dakika daha sürecektir?,"Mason, başlangıçta 880 MB'lık oyun dosyasının 310 MB'ını indirmiş. Geriye 880 - 310 = 570 MB kalıyor. İnternet bağlantısı dakikada 3 MB hızında olduğu için kalan 570 MB'ı indirmesi 570 / 3 = 190 dakika sürecektir."
"Bir tesisatçı 10 metre bakır ve 5 metre daha plastik boru satın aldı. Her bir metrenin maliyeti 4 dolarsa, tesisatçı bakır ve plastik boruya ne kadar harcamıştır?","Toplamda:

- 10 metre bakır boru
- 5 metre plastik boru

Her metrenin maliyeti 4 dolar olduğuna göre:

- Bakır boru için: 10 metre * 4 dolar/metre = 40 dolar
- Plastik boru için: 5 metre * 4 dolar/metre = 20 dolar

Tesisatçı toplamda 40 + 20 = 60 dolar harcamıştır."
Soda şehrinde tam olarak 23786 kişi yaşamaktadır. Bunların 8417'si erkek ve 9092'si kadındır. Nüfusun geri kalanı çocuklardan oluşmaktadır. Soda'da kaç çocuk var?,"Soda şehrindeki çocuk sayısını bulmak için toplam nüfustan erkek ve kadın nüfusunu çıkarmamız gerekir:

Toplam nüfus: 23786

Erkek ve kadın nüfusu toplamı:
8417 (erkek) + 9092 (kadın) = 17509

Çocuk sayısı:
23786 - 17509 = 6277

Soda şehrinde 6277 çocuk bulunmaktadır."
"Bir meyve standında tanesi 2 dolardan elma satılıyor. Emmy'nin 200 doları, Gerry'nin ise 100 doları vardır. Elma satın almak isterlerse, Emmy ve Gerry toplam kaç elma satın alabilir?","Emmy 200 dolarıyla 100 elma, Gerry ise 100 dolarıyla 50 elma satın alabilir. İkisi birlikte toplam 150 elma alabilirler."
"Jake arabasını 1 şişe araba yıkama sabunu ile 4 kez yıkayabilir.  Her bir şişenin fiyatı 4,00 dolarsa ve arabasını 20 hafta boyunca haftada bir kez yıkarsa, araba sabununa ne kadar harcar?","Jake arabasını 20 hafta boyunca haftada bir kez yıkayarak toplam 20 kez yıkır. Bir şişe sabunla 4 kez yıkayabildiğine göre, 20 kez yıkamak için 5 şişe sabun gerekecek. Her bir şişe 4,00 dolar olduğuna göre, toplam maliyet 5 şişe x 4,00 dolar = 20,00 dolar olacaktır."
Bayan Darlington'ın bir sepet dolusu 20 yaban mersini var. Aynı miktarda çilek içeren 9 sepet daha topladı. Bayan Darlington'ın toplam kaç yaban mersini vardı?,"Bayan Darlington toplamda 20 yaban mersini toplamıştır. Diğer sepetlerin her birinde çilek olduğundan, toplam yaban mersini sayısı 20 olarak kalır. Yani, Bayan Darlington'ın toplam 20 yaban mersini vardır."
"Dan'in bir dondurma dükkanı var ve her altıncı müşteriye bir külah dondurma bedava. Külahların tanesi 2 dolar. Eğer 100$ değerinde külah sattıysa, kaç tane bedava külah vermiştir?",5 tane bedava külah vermiştir.
"Barbie ve Bruno'nun bahçelerinin bir tarafından diğer tarafına taşımaları gereken 144 hindistan cevizinden oluşan bir yığın var.  Barbie bir seferde 4 hindistan cevizi taşıyabilirken, Bruno bir seferde 8 hindistan cevizi taşıyabilir.  Her seferinde maksimum sayıda hindistan cevizi taşıyarak birlikte yolculuk yaparlarsa, tüm hindistan cevizlerini taşımak için birlikte kaç yolculuk yapmaları gerekir?","Barbie 4 hindistan cevizi, Bruno ise 8 hindistan cevizi taşıyabilir. Birlikte her seferde 12 hindistan cevizi taşırlar. 144 hindistan cevizini taşımak için toplamda 144 / 12 = 12 yolculuk yapmaları gerekmektedir."
"Billy bir gece 6 saat uyuduysa, ertesi gece bundan 2 saat daha fazla uyuduysa, bir sonraki gece önceki miktarın yarısı kadar uyuduysa ve son gece önceki miktarın üç katını uyuduysa, bu dört günlük süre içinde ne kadar uyumuştur?",Billy ilk gece 6 saat uyumuş. İkinci gece 8 saat (6 + 2) uyumuş. Üçüncü gece 4 saat (8 / 2) uyumuş. Dördüncü gece 12 saat (4 * 3) uyumuş. Toplamda 6 + 8 + 4 + 12 = 30 saat uyumuştur.
Seth çıkartmalarının yarısını Luis'e verdi. Luis çıkartmaların yarısını kullandı ve kalanını Kris'e verdi.  Kris çıkartmaların 9'unu sakladı ve kalan 7 çıkartmayı Rob'a verdi. Seth'in başlangıçta kaç tane çıkartması vardı?,Seth'in başlangıçta 64 çıkartması vardı.
"Christy ve arkadaşı Tanya yüz nemlendiricisi ve vücut losyonu almak için Target'a giderler. Christy, iki yüz nemlendiricisi için 50$ ve vücut losyonu için 60$ ödeyerek dört tane alan Tanya'nın iki katı para harcıyor. Toplamda birlikte ne kadar para harcamışlardır?","Christy toplamda 50$ + 60$ = 110$ harcıyor. Tanya, Christy'nin harcadığı miktarın yarısını harcadığına göre, Tanya 110$ / 2 = 55$ harcıyor. Birlikte toplamda 110$ + 55$ = 165$ harcamışlar."
"Kaylin, Freyja'dan dokuz yaş büyük olan Eli'den iki yaş büyük olan Sarah'dan beş yaş küçüktür. Freyja on yaşındaysa, Kaylin kaç yaşındadır?","Freyja 10 yaşında.
Eli, Freyja'dan 9 yaş büyük, yani Eli 19 yaşında.
Sarah, Eli'den 2 yaş büyük, yani Sarah 21 yaşında.
Kaylin ise Sarah'dan 5 yaş küçük, yani Kaylin 16 yaşında."
James tanesi 2 dolardan 200 loto bileti alır.  Bu biletlerin %20'si kazanıyor.  Kazananların %80'i 5 dolardır. 1 bilet 5.000 dolarlık büyük ödülü kazanıyor.  Diğer biletler ortalama 10 dolar kazanıyor.  Ne kadar kâr etti?,"James 200 bilet için 400 dolar harcar. Bunların %20'si, yani 40 bilet kazanır.

40 kazanan biletten:
- %80'i (32 bilet) 5 dolar kazanır: 32 x 5 = 160 dolar
- 1 bilet 5,000 dolar kazanır.
- Geriye kalan 7 bilet, ortalama 10 dolar kazanır: 7 x 10 = 70 dolar

Toplam kazanç: 160 + 5,000 + 70 = 5,230 dolar

James'in karı: 5,230 - 400 = 4,830 dolar"
Yedi yıl sonra Talia 20 yaşında olacak.  Talia'nın annesi şu anda Talia'nın bugün olduğundan üç kat daha yaşlı.  Üç yıl sonra Talia'nın babası da annesiyle aynı yaşta olacak.  Talia'nın babası şu anda kaç yaşında?,"Talia’nın 7 yıl sonra 20 yaşında olacağını biliyoruz. Bu nedenle Talia’nın şu anki yaşını 20 - 7 = 13 olarak bulabiliriz.

Talia’nın annesi şu anda onun yaşının üç katı olduğuna göre, Talia’nın annesi şu anda 3 × 13 = 39 yaşında.

Üç yıl sonra Talia’nın babası, annesiyle aynı yaşta olacak. Bu durumda Talia’nın annesi üç yıl sonra 39 + 3 = 42 yaşında olacak.

Talia’nın babası da üç yıl sonra 42 yaşında olacak. Bu nedenle, şu anki yaşı 42 - 3 = 39 olacaktır.

Sonuç olarak, Talia’nın babası şu anda 39 yaşında."
"Kristine'in Dawn'dan 7 tane daha fazla CD'si var. Dawn'ın 10 CD'si varsa, birlikte kaç CD'leri vardır?","Dawn'ın 10 CD'si var ve Kristine’in Dawn'dan 7 tane daha fazla CD'si var.

Kristine'in CD sayısı: 10 + 7 = 17

Birlikte sahip oldukları CD sayısı: 10 + 17 = 27

Bu yüzden, birlikte 27 CD'leri vardır."
Grace kendi işine yeni başladı. Her hafta 300 dolar alıyor. Grace'in müşterisi ona her 2 haftada bir ödeme yapacak. Grace'in 1800 dolar kazanması kaç hafta sürer?,"Grace, haftada 300 dolar kazanıyorsa, 1800 dolar kazanması 6 hafta sürer çünkü;

1800 dolar / 300 dolar = 6 hafta."
"Jake'in ailesi iki farklı eğlence parkının maliyetini karşılaştırmak istiyor. İlk eğlence parkında her yetişkin için 26 dolar ve her çocuk için 12 dolar ücret alınırken; ikinci eğlence parkında her yetişkin için 14 dolar ve her çocuk için 10 dolar ücret alınmaktadır. Ailede 2 yetişkin ve 2 çocuk varsa, birinci eğlence parkı yerine ikinci eğlence parkını seçerlerse ne kadar tasarruf edebilirler?","Birinci eğlence parkında toplam maliyet:
2 yetişkin * 26 dolar + 2 çocuk * 12 dolar
= 52 dolar + 24 dolar
= 76 dolar

İkinci eğlence parkında toplam maliyet:
2 yetişkin * 14 dolar + 2 çocuk * 10 dolar
= 28 dolar + 20 dolar
= 48 dolar

Tasarruf tutarı:
76 dolar - 48 dolar
= 28 dolar

Jake'in ailesi ikinci eğlence parkını seçtiğinde 28 dolar tasarruf edebilir."
"Ağaç sayısı avludaki taş sayısından üç kat daha fazladır. Ayrıca ağaçlarda, avludaki ağaç ve taş sayısının toplamının iki katı kadar kuş vardır. Taşların sayısı 40 ise, ağaçlarda kaç kuş vardır?","Taşların sayısı 40 olduğuna göre ağaçların sayısı bunun üç katı olacaktır, yani 3 * 40 = 120 ağaç vardır.

Ağaç ve taş sayısının toplamı:
120 ağaç + 40 taş = 160

Ağaçlardaki kuşların sayısı ise, bu toplamın iki katıdır:
2 * 160 = 320

Dolayısıyla, ağaçlarda 320 kuş vardır."
"Dün Bay Brandon'ın dükkanına gelen alıcılar 80 $ değerinde mal satın aldılar. Bay Brandon'ın dün yaptığı toplam satışların 2/5'i kredili satış, geri kalanı peşin satış ise, Bay Brandon peşin satışlardan ne kadar gelir elde etmiştir?",Bay Brandon'ın peşin satışlardan elde ettiği gelir 48 $'dır.
"Eski bir araba bir saatte 8 mil gidebilir. 5 saatlik sürekli sürüşten sonra, arabanın soğuması gerekiyor ve bu da 1 saat sürüyor. Bu araba 13 saatte kaç mil gidebilir?","Eski araba saatte 8 mil gidiyor ve 5 saatlik sürüşten sonra 1 saat soğuma süresine ihtiyaç duyuyor. Bu durum 13 saatte birkaç kez tekrarlanabilir.

13 saati çözümlemek için:
5 saat sürüş + 1 saat soğuma = 6 saat (1 döngü)

13 saatte kaç döngü yapılabilir?
13 saat / 6 saat = 2 döngü (toplam 12 saat eder)
Geriye kalan zaman: 13 - 12 = 1 saat

Her bir döngüde araba 5 saat sürüş yapar ve bu 5 saat boyunca toplam:
5 saat x 8 mil/saat = 40 mil gider.

2 döngüde toplam:
2 x 40 mil = 80 mil.

Kalan 1 saatte araba:
1 saat x 8 mil/saat = 8 mil gider.

Toplamda:
80 mil + 8 mil = 88 mil.

Bu nedenle, araba 13 saatte toplam 88 mil gidebilir."
"Forest ve arkadaşları, arkadaşları Juelz için 240 parçadan oluşan bir doğum günü pastası hazırladılar. Doğum günü şarkısını söyledikten sonra pastanın %60'ını yediler ve daha sonra Juelz kalan parçaları üç kız kardeşi arasında paylaştırdı. Her kız kardeşin aldığı pasta parçası sayısı kaçtır?","Doğum günü partisinde pastanın %60'ı yenildi, bu da 240 parçanın %60'ı yani 144 parçadır. Kalan pasta parçaları 240 - 144 = 96 parçadır. Bu kalan parçalar üç kız kardeş arasında eşit olarak paylaştırıldığında, her kız kardeşin aldığı pasta parçası sayısı 96 / 3 = 32 olur."
Tammy'nin her gün 12 portakal toplayabildiği 10 portakal ağacı vardır. Tammy 6'lı portakal paketlerini 2 dolara satıyor. 3 hafta sonra tüm portakallarını satarsa Tammy ne kadar para kazanmış olacak?,"Tammy her gün 10 ağaçtan 12 portakal toplar, bu da günlük 120 portakal eder. 3 hafta boyunca 7 gün çalışırsa, toplam gün sayısı 21 olur.

Toplam portakal sayısı:
\[ 120 \times 21 = 2520 \]

Portakal paketlerini 6'lı şekilde satıyor:
\[ 2520 \div 6 = 420 \]

Her paket 2 dolara satılıyor:
\[ 420 \times 2 = 840 \]

Tammy, 3 haftanın sonunda toplam 840 dolar kazanmış olur."
"Marcus, Leo'nun yarısı yaşındadır ve Deanna'dan beş yaş küçüktür. Deanna 26 yaşında. Leo kaç yaşında?",Leo 16 yaşında.
"A.T. Cross Lüks Kalemler'de bir kalem yirmi beş sente satılırken bir kalem on beş sente satılmaktadır. Bowen, A.T. Cross Lüks Kalemler'den 40 kalem ve kalemlerin 2/5 katı kadar kalem satın alır. Bowen'ın harcadığı toplam para miktarını hesaplayın.","Bowen, toplamda 40 kalem ve kalemlerin 2/5 katı kadar yani 40 x 2/5 = 16 kalem daha satın alır. Toplamda 40 + 16 = 56 kalem alır.

56 kalemi 25 sente satılan kalemlerden alırsa, toplam harcaması şu şekilde olur:
56 kalem x 0,25 dolar = 14 dolar.

Bowen’ın toplam harcadığı para 14 dolardır."
"Jacob, yeni bir şehir inşa etmek için kullanılacak bir şehir planı önerisi hazırlamak üzere bir proje ile görevlendirilmiştir. Referans olarak 2000 mağazası, 500 hastanesi, 200 okulu ve 20 polis karakolu olan Pittsburg şehrini kullanır. Yeni şehirde mağaza sayısının yarısı, hastane sayısının iki katı, okul sayısının 50 daha az ve karakol sayısının 5 daha fazla olması gerekiyorsa, bu proje için gereken toplam bina sayısı nedir?","Yeni şehir için gereken toplam bina sayısını hesaplamak için verileri belirleyelim:

- Mağaza sayısı: Pittsburg şehrindeki 2000 mağazanın yarısı, yani 1000 mağaza.
- Hastane sayısı: Pittsburg şehrindeki 500 hastanenin iki katı, yani 1000 hastane.
- Okul sayısı: Pittsburg şehrindeki 200 okuldan 50 eksik, yani 150 okul.
- Polis karakolu sayısı: Pittsburg şehrindeki 20 karakoldan 5 fazla, yani 25 karakol.

Bu değerleri toplarsak:
1000 mağaza + 1000 hastane + 150 okul + 25 karakol = 2175 bina.

Toplamda 2175 bina gerekir."
"John ve en iyi arkadaşı Steve birlikte 12 kek aldılar.  Her bir kekin fiyatı 1,50 dolardı. Masrafları eşit olarak paylaşırlarsa, her bir kişi ne kadar ödemiştir?",Her bir kişi 9 dolar ödemiştir.
